group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4664419905349204,3118,3387,7069,372,0.8934097421203439,0.32392884468247896,0.10659025787965616,0.47932359723289775,0.9500067195269453,White,1.0,True
Black,1561,0.11467008327994875,0.452914798206278,176,531,851,3,0.9832402234636871,0.3842257597684515,0.01675977653631285,0.24893917963224893,0.9964871194379391,White,0.9709991968923525,True
Asian-Pac-Islander,480,0.27708333333333335,0.4479166666666667,115,100,247,18,0.8646616541353384,0.2881844380403458,0.13533834586466165,0.5348837209302325,0.9320754716981132,White,0.9602837560850628,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.4779874213836478,19,57,83,0,1.0,0.40714285714285714,0.0,0.25,1.0,White,1.024752125844174,True
Other,135,0.18518518518518517,0.5333333333333333,25,47,63,0,1.0,0.42727272727272725,0.0,0.3472222222222222,1.0,White,1.1434076351524467,True
