group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4117309622830919,3087,2655,7801,403,0.8845272206303725,0.2539211935730681,0.1154727793696275,0.5376175548589341,0.9508776206728425,White,1.0,True
Black,1561,0.11467008327994875,0.26649583600256244,162,254,1128,17,0.9050279329608939,0.1837916063675832,0.09497206703910614,0.3894230769230769,0.9851528384279477,White,0.6472572150629983,False
Asian-Pac-Islander,480,0.27708333333333335,0.5166666666666667,121,127,220,12,0.9097744360902256,0.3659942363112392,0.09022556390977443,0.4879032258064516,0.9482758620689655,White,1.254864739347498,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.46540880503144655,19,55,85,0,1.0,0.39285714285714285,0.0,0.25675675675675674,1.0,White,1.130371158998355,True
Other,135,0.18518518518518517,1.0,25,110,0,0,1.0,1.0,0.0,0.18518518518518517,,White,2.428770463253222,True
