group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4117309622830919,3087,2655,7801,403,0.8845272206303725,0.2539211935730681,0.1154727793696275,0.5376175548589341,0.9508776206728425,White,1.0,True
Black,1561,0.11467008327994875,0.4176809737347854,175,477,905,4,0.9776536312849162,0.3451519536903039,0.0223463687150838,0.2684049079754601,0.9955995599559956,White,1.0144512120698916,True
Asian-Pac-Islander,480,0.27708333333333335,0.36875,108,69,278,25,0.8120300751879699,0.1988472622478386,0.18796992481203006,0.6101694915254238,0.9174917491749175,White,0.8956091083246256,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.46540880503144655,19,55,85,0,1.0,0.39285714285714285,0.0,0.25675675675675674,1.0,White,1.130371158998355,True
Other,135,0.18518518518518517,0.4888888888888889,25,41,69,0,1.0,0.37272727272727274,0.0,0.3787878787878788,1.0,White,1.1873988931460195,True
