group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4180410153449018,3099,2731,7725,391,0.8879656160458452,0.2611897475133894,0.11203438395415473,0.5315608919382504,0.9518235584031542,White,1.0,True
Black,1561,0.11467008327994875,0.20755925688661114,154,170,1212,25,0.8603351955307262,0.12301013024602026,0.13966480446927373,0.47530864197530864,0.9797898140662894,White,0.4965045277085212,False
Asian-Pac-Islander,480,0.27708333333333335,0.425,114,90,257,19,0.8571428571428571,0.25936599423631124,0.14285714285714285,0.5588235294117647,0.9311594202898551,White,1.0166466552315607,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.2893081761006289,19,27,113,0,1.0,0.19285714285714287,0.0,0.41304347826086957,1.0,White,0.6920569166208183,False
Other,135,0.18518518518518517,0.22962962962962963,23,8,102,2,0.92,0.07272727272727272,0.08,0.7419354838709677,0.9807692307692307,White,0.5492992821294708,False
