variant,accuracy,roc_auc,worst_group_di
baseline_depth10,0.7872980775136662,0.9048326388222396,0.28603616021162004
equal_opportunity_sex,0.7530864197530864,0.9048326388222396,0.5358414718913641
demographic_parity_sex,0.6789509243903937,0.9048326388222396,1.0
equal_opportunity_race,0.7701615379890671,0.9048326388222396,0.6194899380767875
demographic_parity_race,0.767459001289847,0.9048326388222396,0.8870740423098914
