group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.42191309336010324,3110,2774,7682,380,0.8911174785100286,0.26530221882172916,0.10888252148997135,0.5285520054384772,0.9528652939717192,White,1.0,True
Black,1561,0.11467008327994875,0.26137091607943624,163,245,1137,16,0.9106145251396648,0.1772793053545586,0.0893854748603352,0.39950980392156865,0.9861231569817867,White,0.6194899380767875,False
Asian-Pac-Islander,480,0.27708333333333335,0.5875,125,157,190,8,0.9398496240601504,0.45244956772334294,0.06015037593984962,0.4432624113475177,0.9595959595959596,White,1.3924668592794018,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.44654088050314467,19,52,88,0,1.0,0.37142857142857144,0.0,0.2676056338028169,1.0,White,1.0583717062367193,True
Other,135,0.18518518518518517,1.0,25,110,0,0,1.0,1.0,0.0,0.18518518518518517,,White,2.3701563562202583,True
