group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4180410153449018,3099,2731,7725,391,0.8879656160458452,0.2611897475133894,0.11203438395415473,0.5315608919382504,0.9518235584031542,White,1.0,True
Black,1561,0.11467008327994875,0.4189622037155669,175,479,903,4,0.9776536312849162,0.3465991316931983,0.0223463687150838,0.26758409785932724,0.9955898566703418,White,1.002203583707941,True
Asian-Pac-Islander,480,0.27708333333333335,0.37083333333333335,108,70,277,25,0.8120300751879699,0.2017291066282421,0.18796992481203006,0.6067415730337079,0.9172185430463576,White,0.8870740423098914,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.41509433962264153,19,47,93,0,1.0,0.3357142857142857,0.0,0.2878787878787879,1.0,White,0.9929512281950872,True
Other,135,0.18518518518518517,0.4740740740740741,25,39,71,0,1.0,0.35454545454545455,0.0,0.390625,1.0,White,1.1340372276221333,True
