group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
sex=Male|race=White,9561,0.31126451208032635,0.5225394833176445,2702,2294,4291,274,0.9079301075268817,0.3483675018982536,0.09206989247311828,0.5408326661329064,0.9399780941949617,sex=Male|race=White,1.0,True
sex=Female|race=White,4385,0.11721778791334093,0.1434435575826682,370,259,3612,144,0.7198443579766537,0.06690777576853527,0.2801556420233463,0.5882352941176471,0.9616613418530351,sex=Male|race=White,0.27451238071414946,False
sex=Male|race=Black,808,0.16955445544554457,0.29455445544554454,126,112,559,11,0.9197080291970803,0.16691505216095381,0.08029197080291971,0.5294117647058824,0.980701754385965,sex=Male|race=White,0.5636979880934451,False
sex=Female|race=Black,753,0.055776892430278883,0.07171314741035857,26,28,683,16,0.6190476190476191,0.03938115330520394,0.38095238095238093,0.48148148148148145,0.977110157367668,sex=Male|race=White,0.13723967221586036,False
sex=Male|race=Asian-Pac-Islander,309,0.34627831715210355,0.5307443365695793,97,67,135,10,0.9065420560747663,0.3316831683168317,0.09345794392523364,0.5914634146341463,0.9310344827586207,sex=Male|race=White,1.0157018818938648,True
sex=Female|race=Asian-Pac-Islander,171,0.15204678362573099,0.19298245614035087,18,15,130,8,0.6923076923076923,0.10344827586206896,0.3076923076923077,0.5454545454545454,0.9420289855072463,sex=Male|race=White,0.369316505836248,False
sex=Male|race=Amer-Indian-Eskimo,93,0.17204301075268819,0.34408602150537637,15,17,60,1,0.9375,0.22077922077922077,0.0625,0.46875,0.9836065573770492,sex=Male|race=White,0.6584880807872106,False
sex=Male|race=Other,89,0.2247191011235955,0.2696629213483146,18,6,63,2,0.9,0.08695652173913043,0.1,0.75,0.9692307692307692,sex=Male|race=White,0.5160622880326734,False
sex=Female|race=Amer-Indian-Eskimo,66,0.045454545454545456,0.13636363636363635,3,6,57,0,1.0,0.09523809523809523,0.0,0.3333333333333333,1.0,sex=Male|race=White,0.2609633161074314,False
sex=Female|race=Other,46,0.10869565217391304,0.10869565217391304,4,1,40,1,0.8,0.024390243902439025,0.2,0.8,0.975609756097561,sex=Male|race=White,0.2080142374769381,False
