group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.403341459916822,3072,2553,7903,418,0.8802292263610315,0.24416602907421575,0.11977077363896849,0.5461333333333334,0.9497656531666867,White,1.0,True
Black,1561,0.11467008327994875,0.40871236386931453,174,464,918,5,0.9720670391061452,0.3357452966714906,0.027932960893854747,0.2727272727272727,0.9945828819068255,White,1.013316022492704,True
Asian-Pac-Islander,480,0.27708333333333335,0.3729166666666667,111,68,279,22,0.8345864661654135,0.19596541786743515,0.16541353383458646,0.6201117318435754,0.9269102990033222,White,0.9245681481481481,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.4276729559748428,19,49,91,0,1.0,0.35,0.0,0.27941176470588236,1.0,White,1.0603248078266947,True
Other,135,0.18518518518518517,0.4962962962962963,25,42,68,0,1.0,0.38181818181818183,0.0,0.373134328358209,1.0,White,1.2304618930041151,True
