group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4049906783307041,3079,2569,7887,411,0.8822349570200573,0.24569625095638867,0.1177650429799427,0.5451487252124646,0.950469992769342,White,1.0,True
Black,1561,0.11467008327994875,0.2530429212043562,161,234,1148,18,0.8994413407821229,0.16931982633863965,0.1005586592178771,0.40759493670886077,0.9845626072041166,White,0.6248117172655722,False
Asian-Pac-Islander,480,0.27708333333333335,0.5145833333333333,122,125,222,11,0.9172932330827067,0.36023054755043227,0.08270676691729323,0.4939271255060729,0.9527896995708155,White,1.2706053765344665,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.4591194968553459,19,54,86,0,1.0,0.38571428571428573,0.0,0.2602739726027397,1.0,White,1.1336544800185295,True
Other,135,0.18518518518518517,1.0,25,110,0,0,1.0,1.0,0.0,0.18518518518518517,,White,2.4691926345609065,True
