group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
Male,10860,0.2998158379373849,0.60451197053407,3049,3516,4088,207,0.9364250614250614,0.46238821672803787,0.06357493857493858,0.46443259710586443,0.9518044237485448,Male,1.0,True
Female,5421,0.10883600811658366,0.6032097399003874,585,2685,2146,5,0.9915254237288136,0.555785551645622,0.00847457627118644,0.17889908256880735,0.99767549976755,Male,0.9978458149761168,True
