group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4675892729097949,3121,3400,7056,369,0.8942693409742121,0.32517214996174443,0.10573065902578796,0.4786075755252262,0.9503030303030303,White,1.0,True
Black,1561,0.11467008327994875,0.2882767456758488,163,287,1095,16,0.9106145251396648,0.2076700434153401,0.0893854748603352,0.3622222222222222,0.9855985598559855,White,0.6165170211923613,False
Asian-Pac-Islander,480,0.27708333333333335,0.6125,127,167,180,6,0.9548872180451128,0.4812680115273775,0.045112781954887216,0.43197278911564624,0.967741935483871,White,1.3099102898328479,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.44654088050314467,19,52,88,0,1.0,0.37142857142857144,0.0,0.2676056338028169,1.0,White,0.9549852966564722,True
Other,135,0.18518518518518517,1.0,25,110,0,0,1.0,1.0,0.0,0.18518518518518517,,White,2.1386290446250578,True
