group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
White,13946,0.2502509680195038,0.4117309622830919,3087,2655,7801,403,0.8845272206303725,0.2539211935730681,0.1154727793696275,0.5376175548589341,0.9508776206728425,White,1.0,True
Black,1561,0.11467008327994875,0.18898142216527866,150,145,1237,29,0.8379888268156425,0.1049204052098408,0.16201117318435754,0.5084745762711864,0.9770932069510269,White,0.45899249625861654,False
Asian-Pac-Islander,480,0.27708333333333335,0.41041666666666665,115,82,265,18,0.8646616541353384,0.23631123919308358,0.13533834586466165,0.583756345177665,0.9363957597173145,White,0.9968078776268431,True
Amer-Indian-Eskimo,159,0.11949685534591195,0.2641509433962264,19,23,117,0,1.0,0.16428571428571428,0.0,0.4523809523809524,1.0,White,0.6415620091612284,False
Other,135,0.18518518518518517,0.2222222222222222,22,8,102,3,0.88,0.07272727272727272,0.12,0.7333333333333333,0.9714285714285714,White,0.5397267696118271,False
